"Location","Band Power","Total Power","Band/Total Power"
371720.864,6.8696518294095e-17,2.18130248524985e-16,0.314933480150629
371723.864,6.84722153075485e-17,2.16957602338255e-16,0.315601825285637
371726.864,6.83568438938951e-17,2.15614627289451e-16,0.317032497995276
371729.864,6.80922233876902e-17,2.14053547389874e-16,0.318108362220544
371732.864,6.92546706884876e-17,2.12985071615801e-16,0.325162088418171
371735.864,7.20383987698971e-17,2.1347365758531e-16,0.337458024492359
371738.864,7.48732455659698e-17,2.14664041966666e-16,0.348792675661983
371741.864,7.73983190176768e-17,2.16731401692264e-16,0.357116312695537
371744.864,8.04120032226761e-17,2.19869978898604e-16,0.365725251011913
371747.864,8.38200934018174e-17,2.23101838800649e-16,0.375703283542697
371750.864,8.70597868425804e-17,2.25894781186656e-16,0.385399726302854
371753.864,8.92826893884874e-17,2.29466697558208e-16,0.389087786326116
371756.864,8.96570548531372e-17,2.323586892057e-16,0.385856260248424
371759.864,8.77980903721263e-17,2.33323375770897e-16,0.376293588595839
371762.864,8.43549731649338e-17,2.31803210085323e-16,0.363907700561542
371765.864,8.00806874224386e-17,2.2617688222552e-16,0.354062212877223
371768.864,7.50417939300625e-17,2.16808806492357e-16,0.346119676336616
371771.864,6.87723495316433e-17,2.03883202695546e-16,0.33731248392414
371774.864,6.10193421684505e-17,1.87854178888755e-16,0.324822915994781
371777.864,5.26934833156623e-17,1.72641218882788e-16,0.305219597363002
371780.864,4.57371497529354e-17,1.59070544888953e-16,0.28752746012698
371783.864,4.14077113643966e-17,1.44649225723995e-16,0.286262931288734
371786.864,3.98793898162865e-17,1.34263528727341e-16,0.297023251171006
371789.864,3.7134896279409e-17,1.24307361628829e-16,0.298734489999801
371792.864,3.1695439313982e-17,1.09442457477318e-16,0.289608256654424
371795.864,3.18434730475865e-17,1.08338514421645e-16,0.293925694085615
371798.864,3.1762844114597e-17,1.06501702380282e-16,0.298237900472073
371801.864,3.10137541767082e-17,1.07214660238221e-16,0.289267849264255
371804.864,3.06107261599368e-17,1.09117970663383e-16,0.280528733936664
371807.864,3.06487931337616e-17,1.11960073545134e-16,0.273747525910712
371810.864,3.10172084531892e-17,1.19182720365939e-16,0.260249206914843
371813.864,3.12253885755845e-17,1.31618149758232e-16,0.23724226964854
371816.864,3.13965615951156e-17,1.46307693385196e-16,0.214592690710087
371819.864,3.19129441560947e-17,1.52557056280495e-16,0.209186942473633
