"X1","X2"
824.898021760638,2.18e-08
819.312905371084,1.38e-08
812.61076570362,2.04e-08
807.025649314066,1.5e-08
801.440532924512,1.75e-08
793.621369979136,2.16e-08
789.153276867493,1.72e-08
783.56816047794,2.93e-08
780.217090644207,2.04e-08
775.748997532564,1.88e-08
767.929834587189,1.6e-08
763.461741475546,1.29e-08
756.759601808081,1.12e-08
751.174485418527,1.17e-08
744.472345751062,1.36e-08
740.004252639419,1.46e-08
736.653182805687,1.79e-08
734.419136249865,1.41e-08
726.59997330449,1.07e-08
719.897833637025,8.46e-09
709.844624135828,1.26e-08
702.025461190453,9.71e-09
699.791414634631,1.6e-08
695.323321522988,1.38e-08
689.738205133434,3.27e-08
685.270112021791,7.14e-09
680.802018910148,8.49e-09
676.333925798505,1.13e-08
670.748809408951,1.61e-08
665.163693019397,3.27e-08
658.461553351933,3.51e-08
652.876436962379,4.67e-08
649.301962473064,9.82e-09
641.706204183271,7.16e-09
636.121087793717,5.38e-09
628.301924848342,2.36e-08
620.482761902966,3.79e-08
613.780622235502,1.42e-08
609.312529123859,2.9e-08
604.844436012216,1.94e-08
597.02527306684,2.01e-08
585.855040287732,2.05e-08
571.333737674892,1.53e-08
561.280528173695,2.51e-08
552.344341950409,1.76e-08
543.408155727123,1.14e-08
536.706016059658,1.67e-08
530.003876392193,2.16e-08
523.301736724729,1.54e-08
516.599597057264,1.67e-08
512.131503945621,1.58e-08
503.195317722335,1.33e-08
498.727224610692,2.25e-08
493.066588740632,1.89e-08
489.639999426395,9.48e-09
482.786820797919,1.37e-08
477.646936826563,2.18e-08
472.507052855206,1.6e-08
469.080463540968,2.38e-08
462.227284912493,1.95e-08
457.087400941136,1.91e-08
453.660811626899,1.87e-08
448.520927655542,1.31e-08
441.667749027067,1.4e-08
436.52786505571,1.8e-08
427.961391770116,1.77e-08
421.10821314164,9.19e-09
417.681623827403,1.43e-08
412.541739856046,1.02e-08
406.54520855613,1.15e-08
400.548677256214,1.51e-08
397.122087941976,1.37e-08
394.552145956298,1.09e-08
387.698967327822,1.16e-08
384.272378013585,6.83e-09
382.559083356466,1.01e-08
378.275846713669,1.78e-08
372.279315413753,1.46e-08
368.852726099515,1.56e-08
365.426136785277,1.73e-08
362.856194799599,1.47e-08
359.429605485361,1.42e-08
354.289721514005,1.54e-08
349.149837542648,1.54e-08
344.009953571291,2.09e-08
339.726716928494,1.47e-08
336.300127614257,1.19e-08
333.730185628578,9.85e-09
330.303596314341,1.05e-08
328.590301657222,1.24e-08
326.877007000103,1.04e-08
324.307065014425,7.87e-09
319.167181043068,1.19e-08
317.453886385949,1.01e-08
312.314002414592,9e-09
310.600707757474,1.05e-08
306.317471114676,1.13e-08
301.17758714332,1.26e-08
296.037703171963,1.18e-08
293.467761186285,9.45e-09
288.327877214928,1.3e-08
286.61458255781,1.82e-08
283.187993243572,1.06e-08
278.904756600775,1.11e-08
275.478167286537,1.14e-08
270.33828331518,1.1e-08
265.198399343824,1.04e-08
256.63192605823,1e-08
251.492042086873,1.23e-08
247.208805444076,1.06e-08
244.638863458397,8.13e-09
239.498979487041,1.37e-08
236.072390172803,1.68e-08
230.932506201447,9.68e-09
227.505916887209,1.01e-08
224.079327572971,1.39e-08
218.842856014569,1.21e-08
212.97089451243,1.11e-08
205.924540709864,1.27e-08
198.878186907297,1.99e-08
194.180617705586,1.2e-08
184.785479302164,1.2e-08
177.739125499597,1.03e-08
170.692771697031,1.3e-08
165.99520249532,1.55e-08
158.948848692753,1.21e-08
147.204925688476,2.04e-08
142.507356486765,2.2e-08
140.158571885909,2.41e-08
135.461002684198,3.07e-08
121.368295079065,2.58e-08
116.670725877354,2.33e-08
113.147548976071,3.72e-08
104.926802873076,2.45e-08
97.8804490705098,4.02e-08
93.1828798687988,1.94e-08
88.4853106670877,2.62e-08
84.9621337658044,1.65e-08
81.4389568645211,2.35e-08
79.0901722636656,2e-08
74.3926030619546,2.1e-08
67.3462492593881,2.23e-08
64.9974646585325,3.65e-08
59.1255031563937,2.52e-08
55.6023262551104,1.31e-08
53.253541654255,1.41e-08
50.9047570533994,1.67e-08
46.2071878516884,1.68e-08
41.5096186499773,1.89e-08
35.6376571478385,1.94e-08
30.8127985897096,2.09e-08
25.3370992031576,3.68e-08
19.8613998166058,3.56e-08
14.385700430054,2.83e-08
10.7352341723526,3.36e-08
6.17215135022614,2.02e-08
1.60906852809951,2.51e-08
-4.77924742287771,2.42e-08
-9.34233024500418,2.13e-08
-14.8180296315561,2.18e-08
-22.1189621469586,1.87e-08
-29.4198946623611,1.63e-08
-33.0703609200623,1.77e-08
-37.6334437421889,1.87e-08
-42.1965265643156,1.93e-08
-49.4974590797181,2.2e-08
-54.9731584662698,2.98e-08
-59.5362412883965,2.91e-08
-64.0993241105231,2.09e-08
-70.4876400615001,2.05e-08
-81.439038834604,3.28e-08
-95.1282873009838,1.95e-08
-96.9535204298343,3.23e-08
-101.516603251961,2.44e-08
-104.254452945237,2.62e-08
-108.817535767363,2.07e-08
-115.205851718341,2.02e-08
-124.332017362594,1.84e-08
-129.807716749146,2.48e-08
-136.196032700123,1.95e-08
-140.759115522249,1.82e-08
-146.234814908801,2.09e-08
-149.885281166503,2.2e-08
-151.710514295353,5.91e-08
-156.27359711748,1.54e-08
-161.749296504032,1.76e-08
-168.137612455009,1.76e-08
-173.613311841561,1.92e-08
-182.739477485814,2.2e-08
-188.215176872366,2.62e-08
-193.690876258918,2.8e-08
-199.166575645469,2.48e-08
-206.467508160872,2.34e-08
-215.593673805125,2.58e-08
-221.069373191677,2.59e-08
