"Location","Band Power","Total Power","Band/Total Power"
371720.864,0.146584964274503,0.623853770804744,0.234966864246753
371723.864,0.138991468550412,0.665065319823519,0.208989199117005
371726.864,0.134417479725777,0.715753127900268,0.187798661977356
371729.864,0.136257371662352,0.773904912062537,0.17606474586033
371732.864,0.144974352129685,0.835909685192528,0.173433033134786
371735.864,0.162658771495278,0.904508089183248,0.179831196028501
371738.864,0.19040611708125,0.979362460227559,0.194418435271665
371741.864,0.227988983959616,1.05844480361413,0.215399974737588
371744.864,0.260680127634986,1.11724554474324,0.233323935693021
371747.864,0.281227078536395,1.14716535056142,0.24514955790703
371750.864,0.285712086540944,1.15104410012555,0.248219930504643
371753.864,0.27738470779217,1.14957699874748,0.241292847799142
371756.864,0.280965549860211,1.16068248336616,0.242069260014477
371759.864,0.284469001964573,1.17413531300488,0.242279572732169
371762.864,0.286563991967729,1.18981228575096,0.240848069396813
371765.864,0.288095453890224,1.20922005800393,0.238248987008853
371768.864,0.288628436821703,1.23015980814172,0.234626781749361
371771.864,0.284110761497867,1.24750104425677,0.227743906753308
371774.864,0.274492919075748,1.26254165745892,0.217412960161815
371777.864,0.266044770289262,1.28135943462429,0.207626964847119
371780.864,0.261981019769606,1.29791054804176,0.201848286204988
371783.864,0.259649991521461,1.30552256797872,0.19888586983484
371786.864,0.258973128209581,1.30467162444018,0.198496789045062
371789.864,0.259164311621225,1.29581984324217,0.200000264676291
371792.864,0.259733605220476,1.28285477384975,0.202465322275752
371795.864,0.260863629019388,1.27056397677073,0.205313257568029
371798.864,0.258502480304506,1.25782719462275,0.20551509890199
371801.864,0.256583828440923,1.25855625690015,0.20387156079371
371804.864,0.262051860403756,1.27767352478237,0.205100798694559
371807.864,0.27400960511366,1.31111057531725,0.208990462186881
371810.864,0.298980144197716,1.375026121833,0.217435974088373
371813.864,0.344067952622482,1.48916437977609,0.231047664915418
371816.864,0.417116106051851,1.6641791875611,0.250643746280198
371819.864,0.451975947983805,1.75978649916888,0.256835671939333
371822.864,0.432593804632876,1.7926726147005,0.241312217906084
371825.864,0.4113526602171,1.85206341050063,0.222105062863862
371828.864,0.394072481473083,1.92468874433224,0.204746083039938
371831.864,0.389501316781832,2.01438210130437,0.193360195431452
371834.864,0.396843078884627,2.10813918355716,0.188243301002078
371837.864,0.402722059656971,2.17370597626211,0.185269794560481
371840.864,0.411178266901959,2.21801378839789,0.185381294315109
371843.864,0.416965999114083,2.23649603484027,0.186437173426003
371846.864,0.424207226964507,2.24269257645585,0.189150858846149
371849.864,0.416460510416114,2.23816158442399,0.186072584443581
371852.864,0.403891036663097,2.2233828524089,0.181656090504388
371855.864,0.381267930604409,2.17233263937423,0.175510841983316
371858.864,0.341545842391309,2.0835625828824,0.16392396619007
371861.864,0.295822309999031,1.96940092865392,0.150209287349745
371864.864,0.266160676501369,1.87622711829775,0.141859518981289
371867.864,0.255107328154294,1.83685141585829,0.138882941729444
371870.864,0.251946777128608,1.84207655685115,0.13677323897943
371873.864,0.259109394193026,1.85125930615451,0.13996385775435
371876.864,0.259905463537783,1.87142029706678,0.138881396095336
371879.864,0.258010327972782,1.89138430374166,0.13641348691663
371882.864,0.254757366473038,1.90996433841605,0.133383310540924
371885.864,0.250792821963271,1.92526298065768,0.130264189610917
371888.864,0.245422361333002,1.9287881679799,0.127241739350798
371891.864,0.241540024211345,1.92212887320194,0.125662762564396
371894.864,0.242774688777219,1.9106889838078,0.127061332762486
371897.864,0.247578628544635,1.89674703426678,0.130528016689553
371900.864,0.250616776129084,1.88115230410009,0.133225138433953
371903.864,0.246054216424441,1.85379568016486,0.132729954577604
371906.864,0.232270114998507,1.81012774091512,0.128316974403741
371909.864,0.228606066815718,1.78339812998534,0.128185660269587
371912.864,0.227656233819134,1.76700189026582,0.128837572315719
371915.864,0.229026397533835,1.76306751865496,0.12990222728881
371918.864,0.237284497703753,1.78570065151889,0.132880333275301
371921.864,0.255445310044735,1.84135018991031,0.138727175006932
371924.864,0.278844846886029,1.92441179552389,0.144898741285318
371927.864,0.257141276407902,1.93066599688822,0.133187862023962
371930.864,0.226018930417611,1.92708879000834,0.117285166926135
371933.864,0.203752856473015,1.92791138946346,0.105685799454569
371936.864,0.187396525601125,1.92430007390774,0.0973842531848851
371939.864,0.176185386565149,1.91400917254406,0.092050440035753
371942.864,0.175338372231955,1.90596506889076,0.0919945360457203
371945.864,0.186360837766559,1.89686823566431,0.0982465910191664
371948.864,0.210989755543829,1.89382419939746,0.111409367147678
371951.864,0.242807549445231,1.89137084511887,0.12837648950329
371954.864,0.256881886635865,1.84499095278803,0.139232057613986
371957.864,0.265472955165401,1.76642609238521,0.150288175831309
371960.864,0.253443222553454,1.65272867755992,0.153348354145846
371963.864,0.231431315308553,1.52087936305886,0.152169409967591
371966.864,0.220678749302953,1.38273277568761,0.159596093462971
371969.864,0.234025477309282,1.29678571080584,0.18046580507419
371972.864,0.248819755860511,1.295621265192,0.192046674861915
371975.864,0.238558650936327,1.2692521445278,0.187952135408901
371978.864,0.225952270549901,1.23689466337495,0.182677051846417
371981.864,0.214232909486958,1.20305288753759,0.178074390333288
371984.864,0.20716181781183,1.17565785774401,0.176209274192541
371987.864,0.206952429729046,1.16245852458172,0.178029947178985
371990.864,0.208672802848154,1.15793288217529,0.180211483809097
371993.864,0.211603168130269,1.15110922632369,0.183825447048207
371996.864,0.213484581486393,1.13528956892309,0.188044167171288
371999.864,0.214445654749067,1.10981285434418,0.19322686154666
372002.864,0.213491125550059,1.06337960528679,0.20076661663309
